number	imsi	msin	call_number	amount	type	date
3218	12482	12482	93217	46	1	3/27/13 20:22
4244	7124	7124	29837	21	1	3/27/13 20:22
6682	14858	14858	68539	118	1	3/27/13 20:22
640	7128	7128	16100	27	1	3/27/13 20:22
6814	12486	12486	3069	26	1	3/27/13 20:22
5457	1031	1031	3191	45	1	3/27/13 20:22
8949	9218	9218	3747	58	1	3/27/13 20:22
2683	13836	13836	45170	67	1	3/27/13 20:22
9594	11583	11583	93473	98	1	3/27/13 20:22
4549	2679	2679	90958	115	1	3/27/13 20:22
1421	10334	10334	91241	63	1	3/27/13 20:22
8190	2646	2646	4015	100	1	3/27/13 20:22
7535	9022	9022	61390	13	1	3/27/13 20:22
1434	7017	7017	2354	1	3	3/27/13 20:22
3317	15529	15529	1934	1	3	3/27/13 20:22
9129	10690	10690	63964	24	1	3/27/13 20:22
991	9622	9622	96268	72	1	3/27/13 20:22
1434	7017	7017	2354	1	3	3/27/13 20:22
4143	1459	1459	6030	1	3	3/27/13 20:22
8014	15056	15056	98774	30	1	3/27/13 20:22
8145	11491	11491	7660	50	1	3/27/13 20:22
6012	6499	6499	79592	1	3	3/27/13 20:22
2371	16385	16385	97101	101	1	3/27/13 20:22
2592	9275	9275	86290	56	1	3/27/13 20:22
2	17076	17076	6030	1	3	3/27/13 20:22
4086	8026	8026	18681	1	3	3/27/13 20:22
2	17076	17076	6030	1	3	3/27/13 20:21
8224	18113	18113	92907	5	1	3/27/13 20:21
7473	3624	3624	91902	334	1	3/27/13 20:21
583	4389	4389	95292	259	1	3/27/13 20:21
2204	11683	11683	2815	1	3	3/27/13 20:21
9037	9230	9230	26600	8	1	3/27/13 20:21
3019	10407	10407	93018	334	1	3/27/13 20:21
3679	8995	8995	95115	396	1	3/27/13 20:21
2	17076	17076	6030	1	3	3/27/13 20:21
3871	13951	13951	41154	4	1	3/27/13 20:21
6626	13976	13976	29530	266	1	3/27/13 20:21
890	14917	14917	6030	1	3	3/27/13 20:21
890	14917	14917	1606	1	3	3/27/13 20:21
9325	9030	9030	99324	69	1	3/27/13 20:21
851	11885	11885	95001	10	1	3/27/13 20:21
2545	7888	7888	14285	1	3	3/27/13 20:21
2778	10368	10368	63280	59	1	3/27/13 20:21
2400	8828	8828	94541	20	1	3/27/13 20:21
3119	16669	16669	73169	40	1	3/27/13 20:21
9396	9326	9326	4124	34	1	3/27/13 20:21
4631	16649	16649	30955	45	1	3/27/13 20:21
6935	8587	8587	63692	1	3	3/27/13 20:21
6312	14602	14602	81421	24	1	3/27/13 20:21
4143	1459	1459	1606	6	1	3/27/13 20:21
6518	2947	2947	35140	181	1	3/27/13 20:21
8779	14864	14864	98461	843	1	3/27/13 20:21
4877	7445	7445	20650	42	1	3/27/13 20:21
201	7118	7118	34709	229	1	3/27/13 20:21
9594	11583	11583	93473	44	1	3/27/13 20:21
1441	13980	13980	91671	342	1	3/27/13 20:21
3289	3443	3443	6030	1	3	3/27/13 20:20
5412	15222	15222	18088	1	3	3/27/13 20:20
9633	12629	12629	54738	245	1	3/27/13 20:20
3289	3443	3443	1606	1	3	3/27/13 20:20
8865	3685	3685	70724	1	3	3/27/13 20:20
8202	10345	10345	23292	4	1	3/27/13 20:20
8345	6991	6991	68571	156	1	3/27/13 20:20
7779	17512	17512	23053	32	1	3/27/13 20:20
8092	2283	2283	77840	11	1	3/27/13 20:20
3900	12720	12720	34888	282	1	3/27/13 20:20
5062	13006	13006	21618	32	1	3/27/13 20:20
4128	17055	17055	85961	1	3	3/27/13 20:20
2885	3725	3725	84290	29	1	3/27/13 20:20
1500	3308	3308	58766	46	1	3/27/13 20:20
9079	9043	9043	52492	1	3	3/27/13 20:20
8989	4544	4544	752	258	1	3/27/13 20:20
891	14965	14965	97198	9	1	3/27/13 20:20
9272	12520	12520	83476	1	3	3/27/13 20:20
7531	14042	14042	38701	20	1	3/27/13 20:20
215	18	18	96746	25	1	3/27/13 20:20
7276	7972	7972	3936	154	1	3/27/13 20:20
7049	17612	17612	80952	16	1	3/27/13 20:20
8618	11544	11544	90969	71	1	3/27/13 20:20
9944	4817	4817	66858	43	1	3/27/13 20:20
7912	3502	3502	97911	43	1	3/27/13 20:20
2573	14219	14219	87634	53	1	3/27/13 20:20
2414	13834	13834	72509	575	1	3/27/13 20:20
4550	2680	2680	13900	120	1	3/27/13 20:20
8079	2296	2296	4730	38	1	3/27/13 20:20
